Fecha de inicio,Fecha de finalización,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Referencia a datos externos,Latitud de la ubicación,Longitud de la ubicación,Canal de la distribución,Idioma del usuario,1. Nivel socioeconómico al que usted pertenece,2. Situación laboral actual - Selected Choice,2. Situación laboral actual - Otro - Texto,3. Ocupación para la que está capacitada,4. Ubicación geográfica - Selected Choice,4. Ubicación geográfica - Otra ciudad - Texto,5. ¿Qué porcentaje máximo de los ingresos mensuales familiares puede pagar a sus trabajadoras del  hogar?,6. Nivel de escolaridad,7. Identidad sexual con la que usted se reconoce​,8. Edad,"9. ¿Platica con sus vecinos, familiares o amigos sobre las condiciones laborales de sus trabajadoras del hogar (salarios, horarios, tareas, desempeño, etc.)?",10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Selected Choice,10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Otra - Texto,11. ¿Quién define el salario y la contratación de las trabajadoras del hogar?,12. El salario que usted ofrece se encuentra:,13. ¿Cómo considera al salario que ofrece? (puede elegir una o más opciones),14. ¿Qué criterios considera más importantes para establecer que su empleada tiene un buen desempeño laboral? (puede elegir una o más opciones),15. Motivos por los que alguna vez ha tenido que despedir a  alguna empleada (puede elegir una o más opciones),16. ¿En qué condiciones considera pertinente ajustar los salarios?​ (puede elegir una o más opciones),17. ¿Qué tipo de decisiones toma la empleada al momento de establecer la relación laboral? (puede elegir una o más opciones),18. ¿Qué tan seguido realiza ajustes a los salarios? (puede elegir una o más opciones),19. ¿Qué suele hacer para conseguir a sus trabajadoras del hogar? (puede elegir una o más opciones),20. ¿Qué criterios son los más importantes al momento de contratar a una empleada? (puede elegir una o más opciones),21. ¿A qué tipo de recomendaciones le da más importancia? (puede elegir una o más opciones),22. ¿Qué tipo de empleo le ofrece a sus trabajadoras del hogar?,23. ¿Cuántas trabajadoras del hogar suele tener en casa al mismo tiempo? ​,24. ¿Ofrece algún tipo de prestación laboral? (puede elegir una o más opciones),25. ¿Considera usted que las prestaciones del IMSS (servicios médicos y pensión laboral) son convenientes para sus trabajadoras del hogar? (puede elegir una o más opciones),26. ¿Bajo qué condiciones estaría dispuesta a registrar a su empleada en el IMSS? (puede elegir una o más opciones)
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.2_9_TEXT,Q1.3,Q1.4,Q1.4_5_TEXT,Q1.5,Q1.6,Q1.7,Q1.8,Q2.1,Q2.2,Q2.2_7_TEXT,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.1,Q5.2,Q5.3
01/04/2023 10:41,01/04/2023 10:48,IP Address,187.248.44.146,100,413,True,01/04/2023 10:48,R_1NsmSPw7XLxWTy3,,,,,19.3561,-99.1725,anonymous,ES,Clase media-alta,Empleado,,"Funcionario, director o jefe",Ciudad de México o área conurbada,,Entre el 5.1 y el 7%,Posgrado,Mujer,Entre 51 y 60,Nunca tocamos ese tema,Ingresos de los miembros del hogar,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,Es confiable,Nunca ha ocurrido,Cuando los salarios que pagan los vecinos se incrementan o se reducen,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Experiencia laboral,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Aguinaldo,Préstamos personales","No, porque no brindan un buen servicio",Sin condicionamiento alguno
04/04/2023 08:19,07/04/2023 10:52,IP Address,200.68.159.12,100,268407,True,07/04/2023 10:52,R_10MzMjjmotbbMXz,,,,,19.4326,-99.1332,anonymous,ES,Clase media-alta,Jubilado o Pensionado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 1 y el 3 %,Posgrado,Mujer,Entre 51 y 60,Tanto con familiares como  con vecinos,"Salarios que pagan los vecinos,Salario mínimo",,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,"Relacionado a sus cualificaciones y desempeño laboral,Justo en tanto que es lo que usted puede pagar","Es confiable,Realiza en tiempo y forma las tareas asignadas,Es respetuosa,Es discreta",Nunca ha ocurrido,"Cuando me entero que hay una modificación en los salarios mínimos,Cuando considero que los salarios se han estancado en relación con la inflación  observada",Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,"Recomendaciones de mis amigos y familiares,Recomendaciones de vecinos​",No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales,Apoyos educativos","Si, porque cobija a mis empleadas","Si los trámites son sencillos,Si me obligan por ley,Si la empleada fuera de tiempo completo"
05/04/2023 12:23,05/04/2023 19:10,IP Address,187.190.184.107,100,24415,True,05/04/2023 19:10,R_1KptD0vXUaF2m8e,,,,,19.4326,-99.1332,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,"Comerciante, empleado en venta o agente de venta",Ciudad de México o área conurbada,,Entre el 1 y el 3 %,Licenciatura,Mujer,Entre 51 y 60,Nunca tocamos ese tema,Salario mínimo,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,Realiza en tiempo y forma las tareas asignadas,Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Experiencia laboral,Recomendaciones de mis amigos y familiares,De planta (pernocta en el hogar) (mas de 48 horas),Una sola,"Una o más comidas al día,Alojamiento,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales","No, porque no brindan un buen servicio",Si lleva trabajando varios años con usted
05/04/2023 19:20,05/04/2023 19:32,IP Address,187.252.111.53,100,708,True,05/04/2023 19:32,R_1mV4OCFej9vVIFQ,,,,,16.9573,-99.7143,anonymous,ES,Clase alta,Trabajador por cuenta propia,,"Comerciante, empleado en venta o agente de venta",Otra ciudad,,Entre el 7.1 y el 9%,Licenciatura,Mujer,Entre 41 y 50 años,Tanto con familiares como  con vecinos,Documentos de empleos y salarios,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,Es confiable,Nunca ha ocurrido,Cuando me percato que existen una gran disponibilidad de trabajadoras,Negocia con usted el salario a recibir,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Tareas que puede realizar,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Transporte,Préstamos personales","Si, porque cobija a mis empleadas",Si lleva trabajando varios años con usted
05/04/2023 19:40,05/04/2023 19:46,IP Address,201.141.52.57,100,404,True,05/04/2023 19:47,R_3iPeX6OvnpriiPj,,,,,19.4326,-99.1332,anonymous,ES,Clase media-alta,Empleado,,Trabajador auxiliar en actividad administrativa,Ciudad de México o área conurbada,,Entre el 3.1 y el 5%,Licenciatura,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de vecinos",Salario mínimo,,Usted,No lo sabe,Relacionado a sus cualificaciones y desempeño laboral,Hace más de lo que se le pide,Por desconfianza,Cuando me entero que hay una modificación en los salarios mínimos,"Ella establece los días, horas y el horario",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,Entre 3 y 4 días a la semana (15- 34 horas),Una sola,Una o más comidas al día,"Si, porque cobija a mis empleadas",Si no tuviera que pagar liquidaciones laborales
05/04/2023 19:44,05/04/2023 19:52,IP Address,187.226.230.248,100,481,True,05/04/2023 19:52,R_3pgQLuaqsSuohD0,,,,,17.5657,-99.4945,anonymous,ES,Clase media-baja,Empleado,,"Comerciante, empleado en venta o agente de venta",Otra ciudad,Chilpancingo Gro. ,Entre el 1 y el 3 %,Licenciatura,Mujer,Entre 51 y 60,Nunca tocamos ese tema,Salario mínimo,,Usted,Por debajo del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Es dedicada,Es respetuosa,Es discreta,Realiza tareas diversas (cocina, plancha, etc.)",Por una caída en los ingresos del hogar,Cuando me entero que hay una modificación en los salarios mínimos,Acepta o rechaza la propuesta de trabajo que usted le hace,Cuando contrata a una nueva empleada,Pongo anuncios,"Su edad,Recomendaciones de conocidos,Tareas que puede realizar,Experiencia laboral","Recomendaciones de mis amigos y familiares,Cartas de recomendación de desconocidos",Combina esquemas,Una sola,Transporte,"No, porque no me alcanza para pagarlo","Si lleva trabajando varios años con usted,Si no tuviera que pagar la cuota patronal correspondiente,Si no tuviera que pagar liquidaciones laborales,Si la empleada fuera de tiempo completo"
05/04/2023 19:49,05/04/2023 19:55,IP Address,189.143.224.32,100,369,True,05/04/2023 19:55,R_tSecoBSdjKzedgJ,,,,,16.8725,-99.9018,anonymous,ES,Clase media-baja,Quehaceres del hogar,,Trabajador artesanal,Otra ciudad,,Entre el 1 y el 3 %,Preparatoria,Mujer,Entre 31 y 40 años,"Si, pero solo cuando se trata de familiares o amigos",Salario mínimo,,Usted,Por debajo del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Realiza tareas diversas (cocina, plancha, etc.)",Por una caída en los ingresos del hogar,"Cuando considero que los salarios se han estancado en relación con la inflación  observada,Cuando no logra encontrar a la empleada de su conveniencia",Negocia con usted el salario a recibir,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Experiencia laboral,Recomendaciones de mis amigos y familiares,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,Vacaciones con goce de sueldo,"No, porque incentiva demandas laborales injustificadas",Si los trámites son sencillos
05/04/2023 19:51,05/04/2023 19:59,IP Address,187.227.19.168,100,453,True,05/04/2023 19:59,R_3nksjNU8JsNypPJ,,,,,17.5445,-99.4975,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Otra ciudad,,Entre el 5.1 y el 7%,Licenciatura,Mujer,Entre 51 y 60,Tanto con familiares como  con vecinos,Ingresos de los miembros del hogar,,Ambos,No lo sabe,Justo en tanto que es lo que usted puede pagar,Realiza en tiempo y forma las tareas asignadas,"Por desconfianza,Por incompetencia",Cuando no logra encontrar a la empleada de su conveniencia,Negocia con usted el salario a recibir,De forma irregular,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar",Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,Ninguna,"No, porque no me alcanza para pagarlo",Si lleva trabajando varios años con usted
05/04/2023 20:10,05/04/2023 20:17,IP Address,187.190.202.214,100,462,True,05/04/2023 20:17,R_3ncQT8kOVElWvxu,,,,,20.6381,-103.348,anonymous,ES,Clase media-alta,Quehaceres del hogar,,"Comerciante, empleado en venta o agente de venta",Otra ciudad,Morelia ,Entre el 5.1 y el 7%,Preparatoria,Mujer,Entre 31 y 40 años,"Si, pero solo cuando se trata de vecinos",Salarios que pagan los familiares o amigos,,Usted,No lo sabe,Un pago digno que le permite a la empleada vivir con decoro,Es confiable,Por desconfianza,Cuando me entero que hay una modificación en los salarios mínimos,Negocia con usted el salario a recibir,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Transporte,Aguinaldo,Préstamos personales","Si, porque cobija a mis empleadas",Si los trámites son sencillos
