Fecha de inicio,Fecha de finalización,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Referencia a datos externos,Latitud de la ubicación,Longitud de la ubicación,Canal de la distribución,Idioma del usuario,1. Nivel socioeconómico al que usted pertenece,2. Situación laboral actual - Selected Choice,3. Ocupación para la que está capacitada,4. Ubicación geográfica - Selected Choice,4. Ubicación geográfica - Otra ciudad - Texto,5. ¿Qué porcentaje máximo de los ingresos mensuales familiares puede pagar a sus trabajadoras del  hogar?,6. Nivel de escolaridad,7. Identidad sexual con la que usted se reconoce​,8. Edad,"9. ¿Platica con sus vecinos, familiares o amigos sobre las condiciones laborales de sus trabajadoras del hogar (salarios, horarios, tareas, desempeño, etc.)?",10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Selected Choice,11. ¿Quién define el salario y la contratación de las trabajadoras del hogar?,12. El salario que usted ofrece se encuentra:,13. ¿Cómo considera al salario que ofrece? (puede elegir una o más opciones),14. ¿Qué criterios considera más importantes para establecer que su empleada tiene un buen desempeño laboral? (puede elegir una o más opciones),15. Motivos por los que alguna vez ha tenido que despedir a  alguna empleada (puede elegir una o más opciones),16. ¿En qué condiciones considera pertinente ajustar los salarios?​ (puede elegir una o más opciones),17. ¿Qué tipo de decisiones toma la empleada al momento de establecer la relación laboral? (puede elegir una o más opciones),18. ¿Qué tan seguido realiza ajustes a los salarios? (puede elegir una o más opciones),19. ¿Qué suele hacer para conseguir a sus trabajadoras del hogar? (puede elegir una o más opciones),20. ¿Qué criterios son los más importantes al momento de contratar a una empleada? (puede elegir una o más opciones),21. ¿A qué tipo de recomendaciones le da más importancia? (puede elegir una o más opciones),22. ¿Qué tipo de empleo le ofrece a sus trabajadoras del hogar?,23. ¿Cuántas trabajadoras del hogar suele tener en casa al mismo tiempo? ​,24. ¿Ofrece algún tipo de prestación laboral? (puede elegir una o más opciones),25. ¿Considera usted que las prestaciones del IMSS (servicios médicos y pensión laboral) son convenientes para sus trabajadoras del hogar? (puede elegir una o más opciones),26. ¿Bajo qué condiciones estaría dispuesta a registrar a su empleada en el IMSS? (puede elegir una o más opciones)
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3,Q1.4,Q1.4_5_TEXT,Q1.5,Q1.6,Q1.7,Q1.8,Q2.1,Q2.2,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q4.6,Q4.7,Q5.1,Q5.2,Q5.3
01/04/2023 10:41,01/04/2023 10:48,0,187.248.44.146,100,413,1,01/04/2023 10:48,R_1NsmSPw7XLxWTy3,,,,,19.3561,-99.1725,anonymous,ES,2,4,1,1,,3,5,2,4,1,6,1,2,4,1,5,1,1,1,1,6,1,4,1,"1,5,8",1,3
04/04/2023 08:19,07/04/2023 10:52,0,200.68.159.12,100,268407,1,07/04/2023 10:52,R_10MzMjjmotbbMXz,,,,,19.4326,-99.1332,anonymous,ES,2,3,2,1,,1,5,2,4,4,"1,3",1,2,"2,4","1,2,5,6",5,"2,4",1,1,1,2,"1,6",4,1,"1,5,6,7,8,9",4,"1,6,9"
05/04/2023 12:23,05/04/2023 19:10,0,187.190.184.107,100,24415,1,05/04/2023 19:10,R_1KptD0vXUaF2m8e,,,,,19.4326,-99.1332,anonymous,ES,2,5,4,1,,1,4,2,4,1,3,3,2,1,2,2,4,1,1,1,6,1,1,1,"1,2,5,6,7,8",1,4
05/04/2023 19:20,05/04/2023 19:32,0,187.252.111.53,100,708,1,05/04/2023 19:32,R_1mV4OCFej9vVIFQ,,,,,16.9573,-99.7143,anonymous,ES,1,5,4,5,,4,4,2,3,4,5,1,2,4,1,5,3,3,1,1,4,1,4,1,"3,8",4,4
05/04/2023 19:40,05/04/2023 19:46,0,201.141.52.57,100,404,1,05/04/2023 19:47,R_3iPeX6OvnpriiPj,,,,,19.4326,-99.1332,anonymous,ES,2,4,3,1,,2,4,2,3,2,3,1,3,2,4,2,2,4,1,1,2,1,3,1,1,4,8
05/04/2023 19:44,05/04/2023 19:52,0,187.226.230.248,100,481,1,05/04/2023 19:52,R_3pgQLuaqsSuohD0,,,,,17.5657,-99.4945,anonymous,ES,3,4,4,5,Chilpancingo Gro. ,1,4,2,4,1,3,1,1,4,"1,3,5,6,7",1,2,1,5,5,"1,2,4,6","1,2",5,1,3,3,"4,7,8,9"
05/04/2023 19:49,05/04/2023 19:55,0,189.143.224.32,100,369,1,05/04/2023 19:55,R_tSecoBSdjKzedgJ,,,,,16.8725,-99.9018,anonymous,ES,3,2,7,5,,1,3,2,2,3,3,1,1,4,7,1,"4,5",3,1,1,6,1,2,1,6,5,1
05/04/2023 19:51,05/04/2023 19:59,0,187.227.19.168,100,453,1,05/04/2023 19:59,R_3nksjNU8JsNypPJ,,,,,17.5445,-99.4975,anonymous,ES,2,4,2,5,,3,4,2,4,4,6,3,3,4,2,"2,3",5,3,3,1,"2,4",1,4,1,10,3,4
05/04/2023 20:10,05/04/2023 20:17,0,187.190.202.214,100,462,1,05/04/2023 20:17,R_3ncQT8kOVElWvxu,,,,,20.6381,-103.348,anonymous,ES,2,2,4,5,Morelia ,3,3,2,2,2,2,1,3,1,1,2,2,3,1,1,2,1,4,1,"3,5,8",4,1
05/04/2023 20:32,05/04/2023 20:40,0,187.227.1.232,100,487,1,05/04/2023 20:40,R_3fiUqwquyzx56KB,,,,,17.5657,-99.4945,anonymous,ES,3,2,4,5,Guerrero,1,3,2,3,3,3,1,2,4,2,5,2,4,1,1,2,1,4,1,"1,5,8",3,9
05/04/2023 21:11,05/04/2023 21:20,0,189.143.225.52,100,524,1,05/04/2023 21:20,R_2EaAjdyetfY2m09,,,,,16.8462,-99.9181,anonymous,ES,2,5,4,5,Guerrero,2,4,2,3,4,2,1,3,1,1,1,3,3,3,1,2,1,4,1,1,3,6
05/04/2023 21:26,05/04/2023 21:34,0,187.228.72.8,100,481,1,05/04/2023 21:34,R_2DP4HZoxMpVQcG7,,,,,17.3908,-99.6974,anonymous,ES,4,9,9,5,,1,4,2,5,1,4,1,1,"2,4",1,3,5,1,1,5,6,6,4,1,3,3,9
05/04/2023 21:41,05/04/2023 21:53,0,187.226.185.186,100,727,1,05/04/2023 21:53,R_2YQa8HQKNhZJaJ4,,,,,17.5657,-99.4945,anonymous,ES,3,5,2,5,Guerrero México ,4,4,2,3,3,2,3,2,1,1,5,4,3,1,3,2,"1,5",2,1,"1,3,5,7,8",4,"3,4"
05/04/2023 21:49,05/04/2023 22:00,0,187.226.254.41,100,686,1,05/04/2023 22:00,R_1fZOMescdgwVlLq,,,,,17.5445,-99.4975,anonymous,ES,2,4,2,5,Gro ,1,4,2,2,1,2,3,2,4,1,1,2,4,1,1,2,1,4,1,"1,3,5",4,9
10/04/2023 11:53,10/04/2023 12:09,0,189.130.23.149,100,945,1,10/04/2023 12:09,R_9F5WRjPja45JovT,,,,,19.4426,-99.123,anonymous,ES,2,2,9,1,,5,3,2,2,3,1,3,2,2,"1,3",2,4,"2,3",1,1,"2,6","1,6",3,1,1,3,4
11/04/2023 14:16,11/04/2023 14:31,0,189.203.59.106,100,920,1,11/04/2023 14:31,R_2XnvsuZzfNoyp0y,,,,,19.4326,-99.1332,anonymous,ES,3,4,2,1,,5,4,2,3,3,"1,4",3,2,4,1,5,4,1,3,1,2,1,2,1,"5,6",3,7
11/04/2023 14:17,11/04/2023 14:33,0,189.216.182.18,100,946,1,11/04/2023 14:33,R_phmSkYbiF9A9TDr,,,,,19.4966,-99.1038,anonymous,ES,2,6,1,1,,5,3,2,4,1,5,1,2,2,"1,2,3,5,6",5,"2,4",1,1,1,"2,4,6",1,3,1,"1,3,5,6,7,8,9",4,3
11/04/2023 19:21,11/04/2023 19:48,0,189.203.89.229,100,1601,1,11/04/2023 19:48,R_2aJlE3fjJa3MawU,,,,,19.4326,-99.1332,anonymous,ES,2,5,2,1,,5,4,2,3,4,"1,2,3,4,6",3,2,4,"1,3","2,3",2,1,1,"1,2","2,4,6","1,6",4,1,"1,5",5,"1,4,6"
12/04/2023 12:38,12/04/2023 12:43,0,201.103.158.141,100,293,1,12/04/2023 12:43,R_10x6GJoCfaswQWb,,,,,19.4357,-99.144,anonymous,ES,2,4,2,1,,4,5,1,5,3,"2,6",1,2,1,"1,7",2,4,1,3,1,2,1,1,1,"1,2,4,5,6",4,1
12/04/2023 17:41,12/04/2023 17:53,0,189.165.0.155,100,757,1,12/04/2023 17:53,R_3CV34clCTgDI0p7,,,,,19.0436,-98.1981,anonymous,ES,2,5,4,4,,3,5,2,5,3,"2,4",3,2,1,"1,2,7",5,4,1,1,1,"2,4,6",1,3,1,"1,5,6,8",1,"1,3,4,9"
12/04/2023 18:21,12/04/2023 18:26,0,189.217.91.137,100,341,1,12/04/2023 18:26,R_1DHAHLJaBRPgVyG,,,,,19.4357,-99.144,anonymous,ES,2,3,1,1,,1,4,1,5,3,7,1,2,4,"1,2",5,2,3,1,1,2,1,4,1,10,5,6
12/04/2023 20:08,12/04/2023 20:13,0,201.162.168.204,100,288,1,12/04/2023 20:13,R_1JCIESLsYrsy1Lm,,,,,19.4342,-99.0559,anonymous,ES,2,4,2,4,,4,5,2,2,4,2,3,2,1,"1,2,3,4,5,6,7",4,2,"1,3",3,1,"2,4,5,6","1,3,6",2,1,"1,4,5,6,7",4,"1,4,9"
12/04/2023 20:17,12/04/2023 20:24,0,189.172.243.209,100,424,1,12/04/2023 20:24,R_XsV7kdSn778LlIt,,,,,20.975,-89.6128,anonymous,ES,2,2,2,5,Mérida,2,4,2,4,4,2,1,3,3,"1,5",2,"1,4","2,4",1,"1,2",2,"1,3",5,2,"1,2,5,6,7,8",1,"1,7,9"
12/04/2023 20:23,12/04/2023 20:29,0,177.226.132.36,100,345,1,12/04/2023 20:29,R_2CNaQK6GiT0Ylsp,,,,,19.1264,-98.2303,anonymous,ES,4,5,2,4,,4,5,2,2,2,6,3,2,4,"1,2,7",5,4,1,"3,5","1,2","2,4","1,3",2,2,"1,5,6",3,"2,4"
12/04/2023 20:55,12/04/2023 21:03,0,201.113.53.147,100,447,1,12/04/2023 21:03,R_2S8JyTKC4bxtXJh,,,,,16.8725,-99.9018,anonymous,ES,2,5,2,4,,5,4,2,2,4,7,3,3,4,"1,5,7",5,4,1,1,1,2,1,3,1,"1,5,6",4,9
12/04/2023 21:23,12/04/2023 21:29,0,189.164.250.41,100,368,1,12/04/2023 21:29,R_1QswNDfNPedSZdy,,,,,19.0436,-98.1981,anonymous,ES,2,3,2,4,,5,4,2,5,4,1,1,2,1,7,"1,2",5,1,5,1,2,1,4,1,"5,6",3,9
13/04/2023 00:26,13/04/2023 00:35,0,104.28.50.20,100,549,1,13/04/2023 00:35,R_UfPzTyRLIGlnNZv,,,,,19.4326,-99.1332,anonymous,ES,2,3,2,1,,5,4,1,5,3,2,1,2,"2,4","1,2,5,7","1,2,3",1,"1,3",2,1,"1,2,4,5,6","1,6",3,1,"1,3",3,"1,3,4,6,7,9"
13/04/2023 08:10,13/04/2023 08:16,0,187.189.213.244,100,373,1,13/04/2023 08:16,R_DzSkIiYJC8HtUfT,,,,,19.335,-99.0914,anonymous,ES,1,4,1,1,,4,5,1,3,1,3,3,2,2,2,5,2,3,1,"1,2",4,4,1,1,"1,2,4,5,6,8",4,"1,3,6"
13/04/2023 09:58,13/04/2023 10:10,0,189.131.221.17,100,707,1,13/04/2023 10:10,R_xixt26rdaNAIkTv,,,,,19.3561,-99.1725,anonymous,ES,2,3,1,1,,4,5,1,5,3,"2,3",2,2,1,"1,2,3,5",5,"2,4","3,4",1,"1,2","2,4","1,3,5",2,2,"1,4,5,6,7,8",4,1
13/04/2023 10:16,13/04/2023 10:25,0,200.68.186.92,100,560,1,13/04/2023 10:25,R_3NKAHW7EOiuUrag,,,,,19.4326,-99.1332,anonymous,ES,2,4,1,1,,1,5,2,2,3,2,3,2,1,"1,3,5,7",3,4,1,3,1,2,1,4,1,"1,6",4,1
13/04/2023 10:25,13/04/2023 10:34,0,187.190.167.226,100,523,1,13/04/2023 10:34,R_1IrW5bhb5RoTUx6,,,,,19.4326,-99.1332,anonymous,ES,2,3,2,1,,1,5,1,5,4,7,3,2,1,"1,2,5,7",3,4,2,2,1,2,1,4,1,"1,4,5,6,8",4,3
13/04/2023 10:32,13/04/2023 10:39,0,177.232.84.24,100,435,1,13/04/2023 10:39,R_DnGiqXYZC5uxJeN,,,,,20.6311,-100.3744,anonymous,ES,1,4,2,4,,3,5,2,4,3,"1,2",3,2,"1,2,3","1,2,3,4,5,6,7",5,"1,2",3,"3,5","1,4","2,4",1,3,1,"1,3,5,6,8",4,1
13/04/2023 10:39,13/04/2023 10:42,0,200.63.41.190,100,185,1,13/04/2023 10:42,R_2b44ai7pzzpliCc,,,,,19.441,-99.1421,anonymous,ES,2,4,2,4,,1,4,1,1,1,2,1,2,4,7,2,5,3,3,5,3,2,4,1,10,2,9
13/04/2023 10:40,13/04/2023 10:50,0,177.226.238.196,100,596,1,13/04/2023 10:50,R_1JLo7XeuMYR39NH,,,,,19.0631,-98.2217,anonymous,ES,2,4,2,4,,3,5,2,4,1,6,3,3,3,"1,2,3,4,5,6,7",5,4,3,2,1,6,4,2,1,"1,4,5,6",4,1
13/04/2023 11:06,13/04/2023 11:17,0,189.131.71.236,100,658,1,13/04/2023 11:17,R_2BnUyIBgh0TmCcX,,,,,19.3523,-99.2049,anonymous,ES,2,3,2,1,,4,4,1,5,3,4,3,2,"1,2","1,2,5,6,7",2,"4,5","1,2",1,"1,2","2,4,5","1,6",2,1,"4,5,6,8,9","1,4","1,6"
13/04/2023 11:06,13/04/2023 11:47,0,201.141.110.10,100,2438,1,13/04/2023 11:47,R_3KNICAX3ZEvgKMP,,,,,19.4326,-99.1332,anonymous,ES,3,8,9,5,,1,1,3,5,1,7,2,2,2,1,2,2,1,1,2,2,1,2,1,"1,4,5,6,8",4,3
13/04/2023 11:06,13/04/2023 11:12,0,187.190.154.4,100,337,1,13/04/2023 11:12,R_O9ikwB9hxpfeglb,,,,,19.4326,-99.1332,anonymous,ES,2,5,2,4,,2,5,2,3,3,2,1,2,1,1,2,4,1,3,3,2,1,4,1,"6,8",3,7
13/04/2023 11:06,13/04/2023 11:22,0,200.68.186.103,100,963,1,13/04/2023 11:22,R_4Z1yvXtVn8HBDFL,,,,,19.4326,-99.1332,anonymous,ES,2,4,2,4,,1,4,2,1,3,"1,2,4",3,2,"1,2","1,2,7",5,4,1,1,"1,2","2,4","1,6",4,1,"1,5,6,8",3,"1,9"
13/04/2023 11:09,13/04/2023 11:15,0,165.225.218.160,100,331,1,13/04/2023 11:15,R_3h5DlEogUyZTMNR,,,,,29.7646,-95.3657,anonymous,ES,2,4,1,4,,1,4,2,1,4,7,3,2,"1,2,3,4","1,2,5,6","2,3",4,"1,3",3,"1,2","1,2,4,5","1,6",4,1,"1,5,8","4,5","4,6,7,8"
13/04/2023 11:10,13/04/2023 11:18,0,189.131.49.249,100,477,1,13/04/2023 11:18,R_3snzBnpNATD5xEY,,,,,19.4326,-99.1332,anonymous,ES,2,3,7,1,,4,4,1,5,4,6,1,2,1,4,5,"2,4",1,"1,2","1,2","2,4,5",4,5,2,"1,2,3,4,5,6,7,8",4,3
13/04/2023 11:11,13/04/2023 11:19,0,200.10.244.105,100,439,1,13/04/2023 11:19,R_2q9r00XQCxlzlQT,,,,,19.4326,-99.1332,anonymous,ES,2,4,2,1,,2,5,1,2,3,2,3,2,4,"1,2,5",5,"2,4","1,4",3,1,2,"1,3,6",4,1,"5,6",4,"3,6"
